model,year,fipe_mean_brl,fipe_min_brl,fipe_max_brl,n_versions,reference_month,source
RANGER,2024,258350,239883,276346,2,maio/2026,Parallelum FIPE API v1 (cod 10761+10763 new gen V6)
RANGER,2025,259307,208821,300014,4,maio/2026,Parallelum FIPE API v1 (cod 10761+10763+11234+10891 Raptor)
RANGER,2026,279551,218208,318395,3,maio/2026,Parallelum FIPE API v1 (cod 10761+10763+11234)
MAVERICK,2022,152785,152785,152785,1,maio/2026,Parallelum FIPE API v1 (cod 9744 Lariat FX4)
MAVERICK,2023,161517,161517,161517,1,maio/2026,Parallelum FIPE API v1 (cod 9744)
MAVERICK,2024,178114,174459,181769,2,maio/2026,Parallelum FIPE API v1 (cod 9744+11776 Hybrid FWD)
MAVERICK,2025,209765,201623,219612,3,maio/2026,Parallelum FIPE API v1 (cod 11505 L.Black+11506 Tremor+11775 Hybrid AWD)
MAVERICK,2026,214528,214528,214528,1,maio/2026,Parallelum FIPE API v1 (cod 11775 Lariat Hybrid AWD)
TERRITORY,2020,n/a,n/a,n/a,0,maio/2026,FIPE - lancamento da Territory foi mid-2020/2021
TERRITORY,2021,114447,112601,116292,2,maio/2026,Parallelum FIPE API v1 (cod 9163 SEL+9164 Titanium)
TERRITORY,2022,123705,123705,123705,1,maio/2026,Parallelum FIPE API v1 (cod 9164 Titanium - SEL descontinuada)
TERRITORY,2023,136459,136459,136459,1,maio/2026,Parallelum FIPE API v1 (cod 9164)
TERRITORY,2024,169186,169186,169186,1,maio/2026,Parallelum FIPE API v1 (cod 9164)
TERRITORY,2025,176303,176303,176303,1,maio/2026,Parallelum FIPE API v1 (cod 9164)
TERRITORY,2026,193043,193043,193043,1,maio/2026,Parallelum FIPE API v1 (cod 9164)
TRANSIT,2022,n/a,n/a,n/a,0,maio/2026,FIPE - sem oferta Transit no Brasil 2022 (relançada 2023)
TRANSIT,2023,230108,230108,230108,1,maio/2026,Parallelum FIPE API v1 (cod 10638 Furgao Longo Aut)
TRANSIT,2024,245022,245022,245022,1,maio/2026,Parallelum FIPE API v1 (cod 10638)
TRANSIT,2025,251564,251564,251564,1,maio/2026,Parallelum FIPE API v1 (cod 10638)
TRANSIT,2026,266010,266010,266010,1,maio/2026,Parallelum FIPE API v1 (cod 10638)
EDGE,2017,121638,121638,121638,1,maio/2026,Parallelum FIPE API v1 (cod 7718 Titanium AWD)
EDGE,2018,134169,134169,134169,1,maio/2026,Parallelum FIPE API v1 (cod 7718)
EDGE,2019,185163,185163,185163,1,maio/2026,Parallelum FIPE API v1 (cod 8589 ST AWD - facelift)
EDGE,2020,189793,189793,189793,1,maio/2026,Parallelum FIPE API v1 (cod 8589)
FUSION/MONDEO,2017,96624,96243,97004,2,maio/2026,Parallelum FIPE API v1 (cod 10007 Hybrid+6324 GTDI AWD)
FUSION/MONDEO,2018,103689,99430,107948,2,maio/2026,Parallelum FIPE API v1 (cod 10007+6324)
FUSION/MONDEO,2019,132640,132640,132640,1,maio/2026,Parallelum FIPE API v1 (cod 10007 Hybrid - GTDI descontinuado)
MUSTANG,2017,n/a,n/a,n/a,0,maio/2026,FIPE - sem oferta nacional do Mustang em 2017 (importação esporádica)
MUSTANG,2018,346106,346106,346106,1,maio/2026,Parallelum FIPE API v1 (cod 8238 GT Premium 5.0)
MUSTANG,2019,363086,363086,363086,1,maio/2026,Parallelum FIPE API v1 (cod 8238)
MUSTANG,2020,n/a,n/a,n/a,0,maio/2026,FIPE - hiato de comercialização 2020 (Black Shadow é raro)
MUSTANG,2021,441427,441427,441427,1,maio/2026,Parallelum FIPE API v1 (cod 9354 Mach 1)
MUSTANG,2022,460715,460715,460715,1,maio/2026,Parallelum FIPE API v1 (cod 9354)
MUSTANG,2023,472780,472780,472780,1,maio/2026,Parallelum FIPE API v1 (cod 9354)
MUSTANG,2024,487502,487502,487502,1,maio/2026,Parallelum FIPE API v1 (cod 11613 GT Performance Aut)
MUSTANG,2025,567895,526528,609262,2,maio/2026,Parallelum FIPE API v1 (cod 11613+11612 Dark Horse)
MUSTANG,2026,n/a,n/a,n/a,0,maio/2026,FIPE - sem entrada 2026 ainda
F-150,2017,n/a,n/a,n/a,0,maio/2026,FIPE - sem oferta nacional F-150 2017 (cessou 2014)
F-150,2018,n/a,n/a,n/a,0,maio/2026,FIPE - sem oferta 2018
F-150,2019,n/a,n/a,n/a,0,maio/2026,FIPE - sem oferta 2019
F-150,2020,n/a,n/a,n/a,0,maio/2026,FIPE - sem oferta 2020
F-150,2021,n/a,n/a,n/a,0,maio/2026,FIPE - sem oferta 2021
F-150,2022,n/a,n/a,n/a,0,maio/2026,FIPE - sem oferta 2022
F-150,2023,361262,357816,364708,2,maio/2026,Parallelum FIPE API v1 (cod 10398 Lariat+10399 Platinum)
F-150,2024,449154,446198,452109,2,maio/2026,Parallelum FIPE API v1 (cod 10398+11223 Lariat Black)
F-150,2025,518664,509153,523848,3,maio/2026,Parallelum FIPE API v1 (cod 10398+11223+11494 Tremor)
F-150,2026,n/a,n/a,n/a,0,maio/2026,FIPE - sem entrada 2026 ainda
BRONCO SPORT,2021,149321,149321,149321,1,maio/2026,Parallelum FIPE API v1 (cod 9452 Wildtrak)
BRONCO SPORT,2022,163417,163417,163417,1,maio/2026,Parallelum FIPE API v1 (cod 9452)
BRONCO SPORT,2023,179328,179328,179328,1,maio/2026,Parallelum FIPE API v1 (cod 9452)
BRONCO SPORT,2024,195570,195570,195570,1,maio/2026,Parallelum FIPE API v1 (cod 9452)
BRONCO SPORT,2025,234910,234910,234910,1,maio/2026,Parallelum FIPE API v1 (cod 11489 Badlands - Wildtrak descontinuada)
BRONCO SPORT,2026,n/a,n/a,n/a,0,maio/2026,FIPE - sem entrada 2026 ainda
MUSTANG MACH-E,2022,n/a,n/a,n/a,0,maio/2026,FIPE - lançamento Mach-E nacional 2023
MUSTANG MACH-E,2023,327599,327599,327599,1,maio/2026,Parallelum FIPE API v1 (cod 10868 GT Performance)
MUSTANG MACH-E,2024,406563,406563,406563,1,maio/2026,Parallelum FIPE API v1 (cod 10868)
MUSTANG MACH-E,2025,417599,417599,417599,1,maio/2026,Parallelum FIPE API v1 (cod 10868)
MUSTANG MACH-E,2026,n/a,n/a,n/a,0,maio/2026,FIPE - sem entrada 2026 ainda
F-SERIES,2017,130776,128915,132636,2,maio/2026,Parallelum FIPE API v1 - usa preço Ranger 2017 como proxy F-Series leve
F-SERIES,2018,137997,135952,140042,2,maio/2026,Parallelum FIPE API v1 - proxy Ranger
F-SERIES,2019,148166,145635,150696,2,maio/2026,Parallelum FIPE API v1 - proxy Ranger
F-SERIES,2020,163558,151005,179134,3,maio/2026,Parallelum FIPE API v1 - proxy Ranger
F-SERIES,2021,176280,156033,207016,3,maio/2026,Parallelum FIPE API v1 - proxy Ranger
F-SERIES,2022,164934,159934,173504,3,maio/2026,Parallelum FIPE API v1 - proxy Ranger
F-SERIES,2023,361262,357816,364708,2,maio/2026,Parallelum FIPE API v1 - usa F-150 2023+
F-SERIES,2024,449154,446198,452109,2,maio/2026,Parallelum FIPE API v1 - usa F-150
F-SERIES,2025,518664,509153,523848,3,maio/2026,Parallelum FIPE API v1 - usa F-150
F-SERIES,2026,n/a,n/a,n/a,0,maio/2026,FIPE - sem entrada 2026 ainda
